rank,cca3,country,continent,growth_rate,world_percentage
125,IRL,Ireland,Europe,0.67%,0.06%
126,MRT,Mauritania,Africa,2.68%,0.06%
127,OMN,Oman,Asia,1.49%,0.06%
128,PAN,Panama,North America,1.35%,0.06%
129,KWT,Kuwait,Asia,0.97%,0.05%
130,HRV,Croatia,Europe,-0.54%,0.05%
131,ERI,Eritrea,Africa,1.76%,0.05%
132,GEO,Georgia,Asia,-0.43%,0.05%
133,MNG,Mongolia,Asia,1.44%,0.04%
134,MDA,Moldova,Europe,4.98%,0.04%
135,URY,Uruguay,South America,0.01%,0.04%
136,PRI,Puerto Rico,North America,0.24%,0.04%
137,BIH,Bosnia and Herzegovina,Europe,-0.70%,0.04%
138,ALB,Albania,Europe,-0.35%,0.04%
139,JAM,Jamaica,North America,-0.06%,0.04%
140,ARM,Armenia,Asia,-0.09%,0.03%
141,GMB,Gambia,Africa,2.48%,0.03%
142,LTU,Lithuania,Europe,-1.15%,0.03%
143,QAT,Qatar,Asia,0.79%,0.03%
144,BWA,Botswana,Africa,1.71%,0.03%
145,NAM,Namibia,Africa,1.45%,0.03%
146,GAB,Gabon,Africa,1.99%,0.03%
147,LSO,Lesotho,Africa,1.06%,0.03%
148,GNB,Guinea-Bissau,Africa,2.15%,0.03%
149,SVN,Slovenia,Europe,-0.01%,0.03%
150,MKD,North Macedonia,Europe,-0.38%,0.03%
151,LVA,Latvia,Europe,-1.10%,0.02%
152,GNQ,Equatorial Guinea,Africa,2.37%,0.02%
153,TTO,Trinidad and Tobago,North America,0.25%,0.02%
154,BHR,Bahrain,Asia,0.90%,0.02%
155,TLS,Timor-Leste,Asia,1.44%,0.02%
156,EST,Estonia,Europe,-0.25%,0.02%
157,MUS,Mauritius,Africa,0.08%,0.02%
158,CYP,Cyprus,Europe,0.69%,0.02%
159,SWZ,Eswatini,Africa,0.76%,0.02%
160,DJI,Djibouti,Africa,1.39%,0.01%
161,REU,Reunion,Africa,0.80%,0.01%
162,FJI,Fiji,Oceania,0.71%,0.01%
163,COM,Comoros,Africa,1.83%,0.01%
164,GUY,Guyana,South America,0.63%,0.01%
165,BTN,Bhutan,Asia,0.64%,0.01%
166,SLB,Solomon Islands,Oceania,2.23%,0.01%
167,MAC,Macau,Asia,1.29%,0.01%
168,LUX,Luxembourg,Europe,1.11%,0.01%
169,MNE,Montenegro,Europe,-0.10%,0.01%
170,SUR,Suriname,South America,0.84%,0.01%
171,CPV,Cape Verde,Africa,0.93%,0.01%
172,ESH,Western Sahara,Africa,1.96%,0.01%
173,MLT,Malta,Europe,0.33%,0.01%
174,MDV,Maldives,Asia,-0.53%,0.01%
175,BRN,Brunei,Asia,0.78%,0.01%
176,BHS,Bahamas,North America,0.64%,0.01%
177,BLZ,Belize,North America,1.37%,0.01%
178,GLP,Guadeloupe,North America,0.02%,0.00%
179,ISL,Iceland,Europe,0.65%,0.00%
180,MTQ,Martinique,North America,-0.14%,0.00%
181,MYT,Mayotte,Africa,3.03%,0.00%
182,VUT,Vanuatu,Oceania,2.38%,0.00%
183,GUF,French Guiana,South America,2.49%,0.00%
184,PYF,French Polynesia,Oceania,0.85%,0.00%
185,NCL,New Caledonia,Oceania,1.05%,0.00%
186,BRB,Barbados,North America,0.13%,0.00%
187,STP,Sao Tome and Principe,Africa,1.97%,0.00%
188,WSM,Samoa,Oceania,1.48%,0.00%
189,CUW,Curacao,North America,0.48%,0.00%
190,LCA,Saint Lucia,North America,0.22%,0.00%
191,GUM,Guam,Oceania,0.69%,0.00%
192,KIR,Kiribati,Oceania,1.74%,0.00%
193,GRD,Grenada,North America,0.59%,0.00%
194,FSM,Micronesia,Oceania,0.93%,0.00%
195,JEY,Jersey,Europe,0.92%,0.00%
196,TON,Tonga,Oceania,0.86%,0.00%
